NR_name,tracer_id,date_started,date_completed,comments,ConnID,Conn_x,Conn_y,Conn_z,Pre_skel,Post_skel,URL
,,,,,824948.0,243472.0,322116.0,25000.0,74410.0,887610.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=25000.0&yp=322116.0&xp=243472.0&tool=tracingtool&sid0=6&s0=-2
,,,,,824968.0,304496.0,360412.0,6840.0,53858.0,1207256.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=6840.0&yp=360412.0&xp=304496.0&tool=tracingtool&sid0=6&s0=-2
,,,,,825564.0,323404.0,358380.0,10040.0,53858.0,922922.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=10040.0&yp=358380.0&xp=323404.0&tool=tracingtool&sid0=6&s0=-2
,,,,,826126.0,256388.0,333228.0,24600.0,74410.0,888054.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=24600.0&yp=333228.0&xp=256388.0&tool=tracingtool&sid0=6&s0=-2
,,,,,826710.0,344712.0,389216.0,12400.0,74410.0,199183.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=12400.0&yp=389216.0&xp=344712.0&tool=tracingtool&sid0=6&s0=-2
,,,,,826832.0,504236.0,379292.0,19080.0,232840.0,924116.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=19080.0&yp=379292.0&xp=504236.0&tool=tracingtool&sid0=6&s0=-2
,,,,,827058.0,254992.0,331224.0,23320.0,74410.0,520021.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=23320.0&yp=331224.0&xp=254992.0&tool=tracingtool&sid0=6&s0=-2
,,,,,827128.0,323680.0,373088.0,17360.0,74410.0,29376.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=17360.0&yp=373088.0&xp=323680.0&tool=tracingtool&sid0=6&s0=-2
,,,,,825218.0,243236.0,315880.0,23480.0,74410.0,887752.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=23480.0&yp=315880.0&xp=243236.0&tool=tracingtool&sid0=6&s0=-2
,,,,,847008.0,331744.0,301816.0,7560.0,53858.0,2153.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=7560.0&yp=301816.0&xp=331744.0&tool=tracingtool&sid0=6&s0=-2
,,,,,847442.0,330312.0,279928.0,11960.0,53858.0,137800.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=11960.0&yp=279928.0&xp=330312.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1162818.0,456884.0,152202.0,20760.0,53858.0,1283090.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=20760.0&yp=152202.0&xp=456884.0&tool=tracingtool&sid0=6&s0=-2
